letter,start_position,end_position,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,blue_start_orientation,red_motion_type,red_rotation_direction,red_start_location,red_end_location,red_start_orientation
W-,gamma1,alpha4,dash,None,w,e,in,pro,ccw,n,w,in
W-,gamma1,alpha4,dash,None,w,e,in,pro,ccw,n,w,out
W-,gamma1,alpha4,dash,None,w,e,in,pro,ccw,n,w,clock
W-,gamma1,alpha4,dash,None,w,e,in,pro,ccw,n,w,counter
W-,gamma1,alpha4,dash,None,w,e,out,pro,ccw,n,w,in
W-,gamma1,alpha4,dash,None,w,e,out,pro,ccw,n,w,out
W-,gamma1,alpha4,dash,None,w,e,out,pro,ccw,n,w,clock
W-,gamma1,alpha4,dash,None,w,e,out,pro,ccw,n,w,counter
W-,gamma1,alpha4,dash,None,w,e,clock,pro,ccw,n,w,in
W-,gamma1,alpha4,dash,None,w,e,clock,pro,ccw,n,w,out
W-,gamma1,alpha4,dash,None,w,e,clock,pro,ccw,n,w,clock
W-,gamma1,alpha4,dash,None,w,e,clock,pro,ccw,n,w,counter
W-,gamma1,alpha4,dash,None,w,e,counter,pro,ccw,n,w,in
W-,gamma1,alpha4,dash,None,w,e,counter,pro,ccw,n,w,out
W-,gamma1,alpha4,dash,None,w,e,counter,pro,ccw,n,w,clock
W-,gamma1,alpha4,dash,None,w,e,counter,pro,ccw,n,w,counter
W-,gamma2,alpha1,dash,None,n,s,in,pro,ccw,e,n,in
W-,gamma2,alpha1,dash,None,n,s,in,pro,ccw,e,n,out
W-,gamma2,alpha1,dash,None,n,s,in,pro,ccw,e,n,clock
W-,gamma2,alpha1,dash,None,n,s,in,pro,ccw,e,n,counter
W-,gamma2,alpha1,dash,None,n,s,out,pro,ccw,e,n,in
W-,gamma2,alpha1,dash,None,n,s,out,pro,ccw,e,n,out
W-,gamma2,alpha1,dash,None,n,s,out,pro,ccw,e,n,clock
W-,gamma2,alpha1,dash,None,n,s,out,pro,ccw,e,n,counter
W-,gamma2,alpha1,dash,None,n,s,clock,pro,ccw,e,n,in
W-,gamma2,alpha1,dash,None,n,s,clock,pro,ccw,e,n,out
W-,gamma2,alpha1,dash,None,n,s,clock,pro,ccw,e,n,clock
W-,gamma2,alpha1,dash,None,n,s,clock,pro,ccw,e,n,counter
W-,gamma2,alpha1,dash,None,n,s,counter,pro,ccw,e,n,in
W-,gamma2,alpha1,dash,None,n,s,counter,pro,ccw,e,n,out
W-,gamma2,alpha1,dash,None,n,s,counter,pro,ccw,e,n,clock
W-,gamma2,alpha1,dash,None,n,s,counter,pro,ccw,e,n,counter
W-,gamma3,alpha2,dash,None,e,w,in,pro,ccw,s,e,in
W-,gamma3,alpha2,dash,None,e,w,in,pro,ccw,s,e,out
W-,gamma3,alpha2,dash,None,e,w,in,pro,ccw,s,e,clock
W-,gamma3,alpha2,dash,None,e,w,in,pro,ccw,s,e,counter
W-,gamma3,alpha2,dash,None,e,w,out,pro,ccw,s,e,in
W-,gamma3,alpha2,dash,None,e,w,out,pro,ccw,s,e,out
W-,gamma3,alpha2,dash,None,e,w,out,pro,ccw,s,e,clock
W-,gamma3,alpha2,dash,None,e,w,out,pro,ccw,s,e,counter
W-,gamma3,alpha2,dash,None,e,w,clock,pro,ccw,s,e,in
W-,gamma3,alpha2,dash,None,e,w,clock,pro,ccw,s,e,out
W-,gamma3,alpha2,dash,None,e,w,clock,pro,ccw,s,e,clock
W-,gamma3,alpha2,dash,None,e,w,clock,pro,ccw,s,e,counter
W-,gamma3,alpha2,dash,None,e,w,counter,pro,ccw,s,e,in
W-,gamma3,alpha2,dash,None,e,w,counter,pro,ccw,s,e,out
W-,gamma3,alpha2,dash,None,e,w,counter,pro,ccw,s,e,clock
W-,gamma3,alpha2,dash,None,e,w,counter,pro,ccw,s,e,counter
W-,gamma4,alpha3,dash,None,s,n,in,pro,ccw,w,s,in
W-,gamma4,alpha3,dash,None,s,n,in,pro,ccw,w,s,out
W-,gamma4,alpha3,dash,None,s,n,in,pro,ccw,w,s,clock
W-,gamma4,alpha3,dash,None,s,n,in,pro,ccw,w,s,counter
W-,gamma4,alpha3,dash,None,s,n,out,pro,ccw,w,s,in
W-,gamma4,alpha3,dash,None,s,n,out,pro,ccw,w,s,out
W-,gamma4,alpha3,dash,None,s,n,out,pro,ccw,w,s,clock
W-,gamma4,alpha3,dash,None,s,n,out,pro,ccw,w,s,counter
W-,gamma4,alpha3,dash,None,s,n,clock,pro,ccw,w,s,in
W-,gamma4,alpha3,dash,None,s,n,clock,pro,ccw,w,s,out
W-,gamma4,alpha3,dash,None,s,n,clock,pro,ccw,w,s,clock
W-,gamma4,alpha3,dash,None,s,n,clock,pro,ccw,w,s,counter
W-,gamma4,alpha3,dash,None,s,n,counter,pro,ccw,w,s,in
W-,gamma4,alpha3,dash,None,s,n,counter,pro,ccw,w,s,out
W-,gamma4,alpha3,dash,None,s,n,counter,pro,ccw,w,s,clock
W-,gamma4,alpha3,dash,None,s,n,counter,pro,ccw,w,s,counter
W-,gamma5,alpha2,dash,None,e,w,in,pro,cw,n,e,in
W-,gamma5,alpha2,dash,None,e,w,in,pro,cw,n,e,out
W-,gamma5,alpha2,dash,None,e,w,in,pro,cw,n,e,clock
W-,gamma5,alpha2,dash,None,e,w,in,pro,cw,n,e,counter
W-,gamma5,alpha2,dash,None,e,w,out,pro,cw,n,e,in
W-,gamma5,alpha2,dash,None,e,w,out,pro,cw,n,e,out
W-,gamma5,alpha2,dash,None,e,w,out,pro,cw,n,e,clock
W-,gamma5,alpha2,dash,None,e,w,out,pro,cw,n,e,counter
W-,gamma5,alpha2,dash,None,e,w,clock,pro,cw,n,e,in
W-,gamma5,alpha2,dash,None,e,w,clock,pro,cw,n,e,out
W-,gamma5,alpha2,dash,None,e,w,clock,pro,cw,n,e,clock
W-,gamma5,alpha2,dash,None,e,w,clock,pro,cw,n,e,counter
W-,gamma5,alpha2,dash,None,e,w,counter,pro,cw,n,e,in
W-,gamma5,alpha2,dash,None,e,w,counter,pro,cw,n,e,out
W-,gamma5,alpha2,dash,None,e,w,counter,pro,cw,n,e,clock
W-,gamma5,alpha2,dash,None,e,w,counter,pro,cw,n,e,counter
W-,gamma6,alpha3,dash,None,s,n,in,pro,cw,e,s,in
W-,gamma6,alpha3,dash,None,s,n,in,pro,cw,e,s,out
W-,gamma6,alpha3,dash,None,s,n,in,pro,cw,e,s,clock
W-,gamma6,alpha3,dash,None,s,n,in,pro,cw,e,s,counter
W-,gamma6,alpha3,dash,None,s,n,out,pro,cw,e,s,in
W-,gamma6,alpha3,dash,None,s,n,out,pro,cw,e,s,out
W-,gamma6,alpha3,dash,None,s,n,out,pro,cw,e,s,clock
W-,gamma6,alpha3,dash,None,s,n,out,pro,cw,e,s,counter
W-,gamma6,alpha3,dash,None,s,n,clock,pro,cw,e,s,in
W-,gamma6,alpha3,dash,None,s,n,clock,pro,cw,e,s,out
W-,gamma6,alpha3,dash,None,s,n,clock,pro,cw,e,s,clock
W-,gamma6,alpha3,dash,None,s,n,clock,pro,cw,e,s,counter
W-,gamma6,alpha3,dash,None,s,n,counter,pro,cw,e,s,in
W-,gamma6,alpha3,dash,None,s,n,counter,pro,cw,e,s,out
W-,gamma6,alpha3,dash,None,s,n,counter,pro,cw,e,s,clock
W-,gamma6,alpha3,dash,None,s,n,counter,pro,cw,e,s,counter
W-,gamma7,alpha4,dash,None,w,e,in,pro,cw,s,w,in
W-,gamma7,alpha4,dash,None,w,e,in,pro,cw,s,w,out
W-,gamma7,alpha4,dash,None,w,e,in,pro,cw,s,w,clock
W-,gamma7,alpha4,dash,None,w,e,in,pro,cw,s,w,counter
W-,gamma7,alpha4,dash,None,w,e,out,pro,cw,s,w,in
W-,gamma7,alpha4,dash,None,w,e,out,pro,cw,s,w,out
W-,gamma7,alpha4,dash,None,w,e,out,pro,cw,s,w,clock
W-,gamma7,alpha4,dash,None,w,e,out,pro,cw,s,w,counter
W-,gamma7,alpha4,dash,None,w,e,clock,pro,cw,s,w,in
W-,gamma7,alpha4,dash,None,w,e,clock,pro,cw,s,w,out
W-,gamma7,alpha4,dash,None,w,e,clock,pro,cw,s,w,clock
W-,gamma7,alpha4,dash,None,w,e,clock,pro,cw,s,w,counter
W-,gamma7,alpha4,dash,None,w,e,counter,pro,cw,s,w,in
W-,gamma7,alpha4,dash,None,w,e,counter,pro,cw,s,w,out
W-,gamma7,alpha4,dash,None,w,e,counter,pro,cw,s,w,clock
W-,gamma7,alpha4,dash,None,w,e,counter,pro,cw,s,w,counter
W-,gamma8,alpha1,dash,None,n,s,in,pro,cw,w,n,in
W-,gamma8,alpha1,dash,None,n,s,in,pro,cw,w,n,out
W-,gamma8,alpha1,dash,None,n,s,in,pro,cw,w,n,clock
W-,gamma8,alpha1,dash,None,n,s,in,pro,cw,w,n,counter
W-,gamma8,alpha1,dash,None,n,s,out,pro,cw,w,n,in
W-,gamma8,alpha1,dash,None,n,s,out,pro,cw,w,n,out
W-,gamma8,alpha1,dash,None,n,s,out,pro,cw,w,n,clock
W-,gamma8,alpha1,dash,None,n,s,out,pro,cw,w,n,counter
W-,gamma8,alpha1,dash,None,n,s,clock,pro,cw,w,n,in
W-,gamma8,alpha1,dash,None,n,s,clock,pro,cw,w,n,out
W-,gamma8,alpha1,dash,None,n,s,clock,pro,cw,w,n,clock
W-,gamma8,alpha1,dash,None,n,s,clock,pro,cw,w,n,counter
W-,gamma8,alpha1,dash,None,n,s,counter,pro,cw,w,n,in
W-,gamma8,alpha1,dash,None,n,s,counter,pro,cw,w,n,out
W-,gamma8,alpha1,dash,None,n,s,counter,pro,cw,w,n,clock
W-,gamma8,alpha1,dash,None,n,s,counter,pro,cw,w,n,counter
W-,gamma1,alpha3,pro,cw,w,n,in,dash,None,n,s,in
W-,gamma1,alpha3,pro,cw,w,n,in,dash,None,n,s,out
W-,gamma1,alpha3,pro,cw,w,n,in,dash,None,n,s,clock
W-,gamma1,alpha3,pro,cw,w,n,in,dash,None,n,s,counter
W-,gamma1,alpha3,pro,cw,w,n,out,dash,None,n,s,in
W-,gamma1,alpha3,pro,cw,w,n,out,dash,None,n,s,out
W-,gamma1,alpha3,pro,cw,w,n,out,dash,None,n,s,clock
W-,gamma1,alpha3,pro,cw,w,n,out,dash,None,n,s,counter
W-,gamma1,alpha3,pro,cw,w,n,clock,dash,None,n,s,in
W-,gamma1,alpha3,pro,cw,w,n,clock,dash,None,n,s,out
W-,gamma1,alpha3,pro,cw,w,n,clock,dash,None,n,s,clock
W-,gamma1,alpha3,pro,cw,w,n,clock,dash,None,n,s,counter
W-,gamma1,alpha3,pro,cw,w,n,counter,dash,None,n,s,in
W-,gamma1,alpha3,pro,cw,w,n,counter,dash,None,n,s,out
W-,gamma1,alpha3,pro,cw,w,n,counter,dash,None,n,s,clock
W-,gamma1,alpha3,pro,cw,w,n,counter,dash,None,n,s,counter
W-,gamma2,alpha4,pro,cw,n,e,in,dash,None,e,w,in
W-,gamma2,alpha4,pro,cw,n,e,in,dash,None,e,w,out
W-,gamma2,alpha4,pro,cw,n,e,in,dash,None,e,w,clock
W-,gamma2,alpha4,pro,cw,n,e,in,dash,None,e,w,counter
W-,gamma2,alpha4,pro,cw,n,e,out,dash,None,e,w,in
W-,gamma2,alpha4,pro,cw,n,e,out,dash,None,e,w,out
W-,gamma2,alpha4,pro,cw,n,e,out,dash,None,e,w,clock
W-,gamma2,alpha4,pro,cw,n,e,out,dash,None,e,w,counter
W-,gamma2,alpha4,pro,cw,n,e,clock,dash,None,e,w,in
W-,gamma2,alpha4,pro,cw,n,e,clock,dash,None,e,w,out
W-,gamma2,alpha4,pro,cw,n,e,clock,dash,None,e,w,clock
W-,gamma2,alpha4,pro,cw,n,e,clock,dash,None,e,w,counter
W-,gamma2,alpha4,pro,cw,n,e,counter,dash,None,e,w,in
W-,gamma2,alpha4,pro,cw,n,e,counter,dash,None,e,w,out
W-,gamma2,alpha4,pro,cw,n,e,counter,dash,None,e,w,clock
W-,gamma2,alpha4,pro,cw,n,e,counter,dash,None,e,w,counter
W-,gamma3,alpha1,pro,cw,e,s,in,dash,None,s,n,in
W-,gamma3,alpha1,pro,cw,e,s,in,dash,None,s,n,out
W-,gamma3,alpha1,pro,cw,e,s,in,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,in,dash,None,s,n,counter
W-,gamma3,alpha1,pro,cw,e,s,out,dash,None,s,n,in
W-,gamma3,alpha1,pro,cw,e,s,out,dash,None,s,n,out
W-,gamma3,alpha1,pro,cw,e,s,out,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,out,dash,None,s,n,counter
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,in
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,out
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,counter
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,in
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,out
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,counter
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,counter
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,counter
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,counter
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,counter
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,counter
